k,p,codeType,accuracy
1,0,one-hot,0.395498
2,0,one-hot,0.366559
3,0,one-hot,0.350482
4,0,one-hot,0.353698
5,0,one-hot,0.379421
6,0,one-hot,0.37299
7,0,one-hot,0.382637
8,0,one-hot,0.392283
9,0,one-hot,0.366559
10,0,one-hot,0.392283
11,0,one-hot,0.382637
12,0,one-hot,0.385852
13,0,one-hot,0.392283
14,0,one-hot,0.395498
1,0,tf-idf,0.414791
2,0,tf-idf,0.385852
3,0,tf-idf,0.369775
4,0,tf-idf,0.424437
5,0,tf-idf,0.427653
6,0,tf-idf,0.421222
7,0,tf-idf,0.421222
8,0,tf-idf,0.446945
9,0,tf-idf,0.424437
10,0,tf-idf,0.427653
11,0,tf-idf,0.434084
12,0,tf-idf,0.421222
13,0,tf-idf,0.421222
14,0,tf-idf,0.40836
