k,p,codeType,accuracy
1,0,tf-idf,0.414791
1,1,tf-idf,0.414791
1,2,tf-idf,0.324759
1,3,tf-idf,0.289389
2,0,tf-idf,0.385852
2,1,tf-idf,0.385852
2,2,tf-idf,0.315113
2,3,tf-idf,0.292605
3,0,tf-idf,0.369775
3,1,tf-idf,0.363344
3,2,tf-idf,0.263666
3,3,tf-idf,0.228296
4,0,tf-idf,0.424437
4,1,tf-idf,0.379421
4,2,tf-idf,0.250804
4,3,tf-idf,0.221865
5,0,tf-idf,0.427653
5,1,tf-idf,0.37299
5,2,tf-idf,0.241158
5,3,tf-idf,0.254019
6,0,tf-idf,0.421222
6,1,tf-idf,0.353698
6,2,tf-idf,0.221865
6,3,tf-idf,0.237942
7,0,tf-idf,0.421222
7,1,tf-idf,0.350482
7,2,tf-idf,0.189711
7,3,tf-idf,0.202572
8,0,tf-idf,0.446945
8,1,tf-idf,0.356913
8,2,tf-idf,0.18328
8,3,tf-idf,0.180064
9,0,tf-idf,0.424437
9,1,tf-idf,0.363344
9,2,tf-idf,0.186495
9,3,tf-idf,0.176849
10,0,tf-idf,0.427653
10,1,tf-idf,0.369775
10,2,tf-idf,0.170418
10,3,tf-idf,0.173633
11,0,tf-idf,0.434084
11,1,tf-idf,0.379421
11,2,tf-idf,0.176849
11,3,tf-idf,0.180064
12,0,tf-idf,0.421222
12,1,tf-idf,0.405145
12,2,tf-idf,0.196141
12,3,tf-idf,0.186495
13,0,tf-idf,0.421222
13,1,tf-idf,0.401929
13,2,tf-idf,0.205788
13,3,tf-idf,0.180064
14,0,tf-idf,0.40836
14,1,tf-idf,0.395498
14,2,tf-idf,0.202572
14,3,tf-idf,0.180064
1,0,one-hot,0.395498
1,1,one-hot,0.334405
1,2,one-hot,0.324759
1,3,one-hot,0.334405
2,0,one-hot,0.366559
2,1,one-hot,0.254019
2,2,one-hot,0.26045
2,3,one-hot,0.263666
3,0,one-hot,0.350482
3,1,one-hot,0.302251
3,2,one-hot,0.324759
3,3,one-hot,0.315113
4,0,one-hot,0.353698
4,1,one-hot,0.308682
4,2,one-hot,0.315113
4,3,one-hot,0.302251
5,0,one-hot,0.379421
5,1,one-hot,0.324759
5,2,one-hot,0.33119
5,3,one-hot,0.321543
6,0,one-hot,0.37299
6,1,one-hot,0.340836
6,2,one-hot,0.347267
6,3,one-hot,0.344051
7,0,one-hot,0.382637
7,1,one-hot,0.327974
7,2,one-hot,0.344051
7,3,one-hot,0.340836
8,0,one-hot,0.392283
8,1,one-hot,0.360129
8,2,one-hot,0.379421
8,3,one-hot,0.37299
9,0,one-hot,0.366559
9,1,one-hot,0.382637
9,2,one-hot,0.37299
9,3,one-hot,0.366559
10,0,one-hot,0.392283
10,1,one-hot,0.392283
10,2,one-hot,0.392283
10,3,one-hot,0.389068
11,0,one-hot,0.382637
11,1,one-hot,0.392283
11,2,one-hot,0.395498
11,3,one-hot,0.389068
12,0,one-hot,0.385852
12,1,one-hot,0.395498
12,2,one-hot,0.398714
12,3,one-hot,0.389068
13,0,one-hot,0.392283
13,1,one-hot,0.385852
13,2,one-hot,0.411576
13,3,one-hot,0.40836
14,0,one-hot,0.395498
14,1,one-hot,0.395498
14,2,one-hot,0.401929
14,3,one-hot,0.395498
