k,p,codeType,accuracy
1,0,one-hot,0.278341
2,0,one-hot,0.320257
3,0,one-hot,0.323438
4,0,one-hot,0.334037
5,0,one-hot,0.343284
6,0,one-hot,0.335005
7,0,one-hot,0.334545
8,0,one-hot,0.330291
9,0,one-hot,0.340163
10,0,one-hot,0.331359
11,0,one-hot,0.343332
12,0,one-hot,0.34469
13,0,one-hot,0.337073
14,0,one-hot,0.330116
k,p,codeType,accuracy
1,0,tf-idf,0.323695
2,0,tf-idf,0.367839
3,0,tf-idf,0.380987
4,0,tf-idf,0.394536
5,0,tf-idf,0.40819
6,0,tf-idf,0.400979
7,0,tf-idf,0.397502
8,0,tf-idf,0.399796
9,0,tf-idf,0.405028
10,0,tf-idf,0.404706
11,0,tf-idf,0.403453
12,0,tf-idf,0.402405
13,0,tf-idf,0.395109
14,0,tf-idf,0.385257
