epoch,loss1,loss2,loss3,loss4,loss5,test_loss6,acc6,train_loss6
1,2.361179,2.236751,2.294184,2.057230,1.887836,2.0129,0.2549,2.167436
2,2.026149,2.044219,1.927126,2.271382,2.331327,1.9622,0.2926,2.1200406
3,1.896986,2.252422,2.132778,1.962667,2.084775,1.9237,0.3143,2.0659256
4,1.869680,1.901049,1.877366,1.423183,1.878231,1.8777,0.3481,1.7899018
5,2.246485,2.059610,1.710106,1.995931,1.935743,1.8371,0.3611,1.989575
6,2.358927,1.885090,1.819714,1.985941,2.091410,1.7978,0.3734,2.0282164
7,1.911600,1.854401,2.013237,1.816879,1.852460,1.7713,0.3815,1.8897154
8,1.980607,1.791981,1.926447,1.729346,1.969202,1.7407,0.3851,1.8795166
9,1.774966,2.037171,1.991663,1.929215,1.771696,1.7301,0.3934,1.9009422
10,1.806938,1.799000,1.849455,2.054837,1.806918,1.6915,0.4062,1.8634296
11,1.714503,1.824831,1.626267,1.518079,1.660342,1.6666,0.4086,1.6688044
12,1.660891,1.690755,1.948977,1.769569,1.716019,1.6396,0.4236,1.7572422
13,1.617433,1.476061,1.426830,2.137394,1.806758,1.6130,0.4276,1.6928952
14,1.717170,1.820056,1.758155,1.971122,1.731017,1.5814,0.4368,1.799504
15,1.362928,1.741668,1.792448,1.914815,1.580537,1.5538,0.4470,1.6784792
16,1.855964,1.471218,1.501884,2.103056,1.684767,1.5378,0.4493,1.7233778
17,1.979340,1.489410,1.517409,1.646672,1.417863,1.5255,0.4551,1.6101388
18,1.654863,1.616465,1.681343,1.747908,1.933050,1.5096,0.4595,1.7267258
19,1.691159,1.588273,1.402888,1.455975,1.341176,1.5061,0.4638,1.4958942
20,2.042623,1.781526,1.415444,2.244883,1.552805,1.4970,0.4610,1.8074562
21,1.400891,1.447058,1.877605,1.700091,2.049899,1.4886,0.4708,1.6951088
22,1.357982,1.346807,1.903610,1.560024,1.563151,1.4691,0.4768,1.5463148
23,1.850400,1.742258,1.214772,2.113635,1.391979,1.4672,0.4715,1.6626088
24,1.642904,1.054856,2.240114,1.933611,1.118886,1.4715,0.4732,1.5980742
25,1.596085,1.510261,1.942760,1.786685,2.126374,1.4628,0.4798,1.792433
26,1.486662,1.455578,1.375724,2.020364,1.310076,1.4378,0.4866,1.5296808
27,1.396166,1.869430,1.351350,1.404087,1.932504,1.4481,0.4846,1.5907074
